,Unnamed: 0,Unnamed: 0.1,Pr,Issue,Consumer complaint narrative,Company,State,sentimentValue
123807,123807,123807,Credit card,Late fee,"To Whom It May Concern : Thank you for taking the time to read this letter, and I hope your day is going well. I 'm writing because I noticed that my most recent credit report contains late payments on my Capital One account. 
I want you to know that I understand my financial obligations, and if it were n't for my job cutting my pay then I would have been able to make full payments instead of partial payments. I 'd have an excellent repayment record. I made a mistake in falling behind, but since then, I have received a pay raise and will be able to pay on time every month. 
I 'm planning to apply for a mortgage loan and it 's come to my attention that the missed payments on my record could hurt my ability to qualify. I truly believe that it does n't reflect my creditworthiness and commitment to repaying my debts. It would help me immensely if you could give me a second chance and make a goodwill adjustment to remove the late payment fees. 
Thank you for your consideration, and I hope you 'll approve my request. 
Best, XXXX XXXX XXXX",Capital One,TX,0.143333333333
123816,123816,123816,Consumer Loan,Problems when you are unable to pay,I had a credit card with Capital one years ago ; most of 15 years ago ; instead of them writing it off they sent to collections ; this should be illegal,Capital One,AZ,0.0
123820,123820,123820,Credit card,Other,I have been disputing inaccurate information that is reporting to the XXXX major credit reporting agency 's in regards to my capital one account. It is reporting as having a late payment. ( which I never was late in paying ). Recently I requested my interest rate to possibly be lowered. Capital one lowered the interest rate and sent me a letter that I would receive {$24.00} credited back to my card due to the lowered interest rate. I viewed the statment and it is showing as a late payment reversal fee. I contacted capital one as I explained that I was not late with my payment and have not received the credit back to my card they had promised. I was told that on XXXX/XXXX/2016 there was a credit for {$24.00} and on XXXX/XXXX/2016 there was a credit for XXXX cents. I explained that this is very confusing because showing on my statement it is showing as a late fee reversal. I also asked why in XXXX the XXXX then in XXXX the XXXX cents. I was told this is the credit that I was to receive for the interest rate. This is very mis-leading as it shows on my side that I was late and they gave me back the late fee. This is wrong information and also very confusing. I am submitting this complaint because I was not happy about seeing a late fee credit when I was not late. It should be listed on the statement a credit due back for lowering interest rate. This is very diseving. I am submittin this complaint because capital one is reporting that I had a late payment last year ( which I did not ). Having this deragatory remark reporting on my credit reports is affecting my credit score in a negative way. After seeing today how my statement read an untrue fact is quiet concerning to me.,Capital One,NY,-0.148916666667
123831,123831,123831,Credit card,Billing disputes,"I purchased a used computer that was described as 100 % working and never had any issues. The computer I received had defected hardware and the computer was not functioning properly. After researching the problem I ended up finding out that the seller knew of the problem and had information to prove it. I contacted the seller and he continued to lie and say he never had an issue with the computer. Not getting any resolution with the seller I started a dispute with Capital one. The seller fought the chargeback, again saying he never had a problem with the computer and that the issues I was having was due to software I put on the computer. At this point Capital One said I needed a second opinion letter to basically say that there was something wrong with the computer and I was n't making it up. I took the computer to XXXX, the manufacturer, and they ran tests and found defected hardware in the computer. They also ran the serial number of the computer and found XXXX issues reported by the previous owner. XXXX of the issues was the same issue I was having. I called Capital One on XXXX XXXX, 2016 before uploading all my information and documents that was given to me by XXXX. I wanted to confirm that I had everything that was needed for the dispute. I was told at this time that my second opinion letter was good and that there should be no issues winning the dispute with the information I had. I sent my information in and was told I should get and answer in 10 working days. After 18 days and no reply from Capital One so I called in on XXXX XXXX, 2016. They said they could n't find the documents that I uploaded to them. After a supervisor got involved they found the documents. I again asked if all the documents needed were found and that everything looked good. Again I was told yes, I provided everything needed and in two weeks I should have an answer. Two weeks go by and still no word from Capital One so I called again on XXXX XXXX, 2016. This time I was told again that the information was not found and the case has not been looked at by anyone. I got a supervisor to talk to me personally this time and I told him that I uploaded them and he said, OHHHH here they are. He put me on hold to review my information. He came back and said, yes, I can see from this information that you do have a legitimate case here but your second opinion letter was missing something. I explained to him that I was told twice that the letter had all the information need. I asked that since I was never informed of the issue with the letter, what could I do to fix it. He said there was nothing that could be done because of time frames, too much time had past from when I uploaded the information. He said that if the case was reviewed when it should have been in the first two weeks, then they would have told me to get the letter fixed but since it took so long for Capital One to find my information, the time frame when things need to be finish had already past. So even though I proved that the computer I received was defected and not as describe, Capital One closed my dispute in favor of the seller. Capital One acknowledged that I was given wrong information by them and acknowledged that my dispute case was not handle in a timely matter. It is not right that I have to pay for the mistakes made by Capital One.",Capital One,NY,0.00719461697723
123868,123868,123868,Bank account or service,Deposits and withdrawals,"XXXX XXXX I went to the bank in person on XXXX 2016 and gave the check to the teller to deposit into my account, and specified to the teller to make sure the check is good and she told me to come back tomorrow because the funds are not available the same day and the check should clear tomorrow and the funds will be in the account. 

I went back to the bank in person on XXXX 2016 in the morning in person and went to the same teller and i asked her is the check good and the funds are available? and she said yes the check is good and the funds are in the account and you can withdraw it now. 

Once i was told the check is good and the funds are in the account i trusted what the capital one bank teller told me so there is no reason to doubt anything. 

I also made a additional call later in the morning to double check the funds were there in my account after i took {$1200.00} dollars out to make sure. 

I went food shopping around XXXX at stop and shop and when i got to the cashier my ATM card would not work 3 or 4 times on different machines, so i called capital one bank and they told me all the accounts are frozen because the check that was deposited the day before was a fraud and fictitious, and i asked them what happend to my money in the account and they told me capital one didn, t get paid so we took your money to make sure capital one gets paid. 

Capital one left me with no money in my account and no money in my pocket and no access to make checks and pay bills and cut off my wife, s accounts also leaving us broke and embarrassed, all this because they did not bother to make sure the check is good before putting funds in my account and lying to me not once but twice in person at the bank telling me the check is good and the funds are in the account by their bank teller. 

I believe that there is no security for the customers money in this bank or any other bank that conducts buisness in this manner, there needs to be a change to bank policy across the board to safe guard the rights of the customer. 

These type of security problems can be avoided simply by enforcing customer security over customer want, i rather wait 3-5 days for my funds to be checked out fully before any money is put into my account so i dont have to go through this ever again or any body else. 

It is the banks job to make sure a check is fully good and cleared before any funds are available, instead i was turned in circles and spoken to in a bad manner by a number of capital one representives and capital one rather blame me and lie to the better buisness bureau and all related agentcies than take responsibility to reimburse me for their faulty buisness policies. 

There should be no funds put into an account until a check is fully cleared and verified, this is the banks job to secure the money and transactions of the customer first not leave their customers broke and cut off of any money to live. 

I don, t accept this answer from capital one because they are just trying to cover up for there mistakes in policy, besides i had one of their higher ups call me and tell me that they are going to change policy across all of their banks because of this incident. 

If you need any proofs i have documentation, I have a [ Police report ], [ XXXX report ], [ Capital one complaint ], If they dont reimburse me for their faulty policies i would like to request a lawer from the XXXX because i cant afford my own to follow this to get my money back and to change bank policy for everyone.",Capital One,NY,0.259766584767
123911,123911,123911,Credit card,Advertising and marketing,I have been with Capital One since XXXX of 2016 and i have had to go thru the XXXX just for them to increase my credit limit this month and they still have not reported to any of the credit bureaus like they are supposed to be doing an that is a breach of there terms and Agreements because they lied and i want them to report asap.,Capital One,IL,0.0
123955,123955,123955,Mortgage,"Loan modification,collection,foreclosure","CapitalOne XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX CA XXXX Short sale was started on XXXX/XXXX/16 with CapitalOne. CapitalOne finally got around to ordering the property value 2 months later. It was completed on XXXX/XXXX/16 but there is a major problem - it was done for a property IN ANOTHER STATE. NOT the subject property. Attached are our call logs and a copy of the value done by CapitalOne for a property in the wrong state. 

To date, CapitalOne has done nothing whatsoever to obtain a value on the correct property and with each phone call prove themselves more and more incompetent and unable to answer simple logical questions. 

We are going into the third month of this short sale. Every single time we call we get a different story on the status or why they ca n't move forward, or some other infantile excuse from the short sale department. It is obvious they are defrauding their investors and committing servicing fraud by purposely delaying a decision on the file in order to collect the 'double ' servicing fees they automatically receive for servicing defaulted loans. 

Since CapitalOne has proven so incompetent as to be completely unable to do a simple task such as order a property value for the correct property, how can anyone condone their continued existance in the real estate and financial business?",Capital One,CA,-0.0535926870748
124089,124089,124089,Credit card,Other,CAPITAL ONE BANK MADE TWO HARD INQUIRES ON MY XXXX CREDIT REPORT THAT I DIDNT CONSENT TO,Capital One,NC,-0.291666666667
124125,124125,124125,Mortgage,Settlement process and costs,"XXXX XXXX, Owner of XXXX XXXX XXXX XXXX XXXX # XXXX, XXXX, VA XXXX requested a HELOC on his property. Maximum on that loan was {$45000.00}. When he went to sell the property, Capital One ( second lien holder ) indicates {$95000.00} is owed. They wo n't explain why the amount has increased so drastically other than a generic letter stating "" he owes the money ''. I am a licensed Realtor/Broker and have a Power of Attorney to work on his behalf. I am completely at a loss to get any information from Capital One, and do not understand how the real estate records can indicate a lower amount is owed, yet the Loan PayOff Statement indicates almost twice that amount is owed. There was no re-finance, no second appraisal, the consumer signed nothing, and he claims fraud on the part of the bank. I have plenty of documentation to send.",Capital One,VA,0.0291666666667
124194,124194,124194,Credit card,Payoff process,"While I was working part-time between XX/XX/XXXX and XX/XX/XXXX, I began receiving numerous credit card offers from Capital One. Even though Capital One knew I was struggling financially at the time, they continued to mail offers. Obviously I was unable to pay them at the time ; however, when I began working full-time, I contacted Capital One to settle all of my accounts. I was assured this would not negatively affect my credit reports and scores. I am in the process of trying to get pre-approved for a mortgage and during that process realized Capital One in fact has reported all of these accounts as negative items on my reports. I have attempted to have these items removed by disputing through the credit bureaus with no luck. I find that it is poor practice on Capital One 's part to prey on those who are struggling and introduce them to a cycle of debt. While they are still reporting these items as negative on my credit reports, they continue to mail credit card offers to me. They clearly do not care about the consumer. It is not fair that they are allowed to report negative items on my credit report yet they continue to send me credit card offers multiple times. I ask that Capital One delete all of the negative items with all XXXX credit reporting bureaus ( XXXX, XXXX, and XXXX ).",Capital One,SC,-0.114705882353
124235,124235,124235,Credit card,Other,"For the month of XX/XX/XXXX, my Capital One credit card was due on XX/XX/XXXX. My statement balance was {$280.00}, however, I had a higher balance from recent transactions. I paid {$500.00} from my XXXX on XX/XX/XXXX and it came out of my checking account on XX/XX/XXXX ( see attachment ). Since I paid my entire statement balance, I now have no payment due until XX/XX/XXXX. I am enrolled in text alerts from Capital One for purcahses, payments, etc. At XXXX on XX/XX/XXXX, I received a text saying, "" Capital One Alert : Your payment of {$280.00} is scheduled for XX/XX/XXXX. Contact us if your payment details are incorrect. '' I was sleeping at this time, so I know I did not schedule this payment nor did not contact Capital One until XXXX the same day. I was told that yes, a payment had been scheduled via a Mobile device and could not be canceled. I reviewed my payment history and at least since XX/XX/XXXX, I have used XXXX to make my payments to Capital One, but this time, it was scheduled from my husbands XXXX account. Back to school time and a XXXX, my husbands bank account had a very low balance that was not able to cover this {$280.00} payment. My husband called his bank and they said that nothing is pending or posted as of yet and to keep an eye on it. As soon as he sees something come through, he will need to contact the bank so they can flag it and cancel the transaction.",Capital One,OH,-0.055
124244,124244,124244,Bank account or service,"Account opening, closing, or management","On XXXX XXXX, 2016 and XXXX XXXX, 2016 Capital One Bank ( Cap One ) performed XXXX inquires. I have demanded them to send me a original sighed contracted that I granted them permissible purpose to view my credit. I am getting the run a round. They had no permissible purpose for placing this inquiry on my credit report. I have been demanding them to remove their inqury. I have sent letters to both the credit reporting agencies and Capital One themselvs to remove the inquiry",Capital One,NY,0.0875
124378,124378,124378,Consumer Loan,Problems when you are unable to pay,"I purchased a Kia Sorento with Capital One financing in XXXX XXXX XXXX 2016 I realized that because of the increased cost of my medical care resulting from my XXXX, Medicare costs going up, and fewer doctors taking Medicare that I could no longer afford to make the car payments. I contacted Capital One about arrainging a Voluntary Repossession. They told me that I had to contact a special department and that someone from that department would call me back. I waited two weeks without a call back. I contacted and called them back. Again the same run around and no call back. I called again the same thing. They are going to force the repossession to be due to non-payment which will have a greater impact on my credit record. And they will probably force a private sale which will cause me to owe more than I normally would after all is said and done.",Capital One,GA,0.106318681319
124522,124522,124522,Debt collection,Disclosure verification of debt,"XXXX XXXX XXXX have not been consistent with the information they are reporting to the CRA, and have not been helpful in rectifying the information despite my attempts to have it corrected. Between XXXX and XXXX 2016, they were reporting my collection as if it was a revolving account and adding 30-day late notes. They have never made any attempt at helping me resolve the debt, outside of the time I called them in XXXX 2016 to inquire about resolution. No follow up phone call or letter was received after that, even though I was told on the phone that it would be arriving. In addition to the lack of direct contact, in their correspondence that was sent regarding my collection, their language was almost threatening and it did not seem like they had any intention on helping me resolve my outstanding debt. Lastly, they also repeatedly check my credit report multiple times per month, almost as if they are trying to stunt my credit score growth and rebuilding.",Capital One,PA,0.0785714285714
124552,124552,124552,Mortgage,"Loan servicing, payments, escrow account","On XXXX/XXXX/XXXX I paid my XX/XX/XXXX mortgage payment online at Capital One anticipating that I was to pay it off entirely soon. On XX/XX/XXXX I paid the mortgage off after ensuring that the XX/XX/XXXX payment had also been made. The web site showed that the next payment was not due until XX/XX/XXXX. In spite of this and that I had paid the entire mortgage they took another payment on XX/XX/XXXX. By this time they had removed my account from the web site with any information about the mortgage so I called the XXXX number for Capital One. After explaining the problem I was told that they would transfer the money back to my checking account in 3 to 7 days even though I told them that they had taken the money from my account and I needed the money to pay bills now. 
Seven days later ( XXXX XXXX or so ) I called again since they had not returned the money yet. I was told by XXXX that I had to wait 10 to 15 days and they would then send the information to another group who would write a physical check and then mail it out to me. I told them that this was not acceptable. She told me she would check on what they could do and get back to me within two hours. She never called back. 
I was away the week of XX/XX/XXXX to XX/XX/XXXX and found a few messages on my answering machine when I returned. XXXX from the President 's line at Capital one 360 told me that since I did not answer all of her calls she would not call back again but she left a number ( XXXX extension XXXX ) where I could call her. I called on XXXX XXXX but have not received a call back yet. 
Also on my return last week I found an overnight envelope propped against the door. It contained a check From Capital One made out for the wrong amount from a nonexistent account. 
I would like to have them return the money quickly. If necessary by deposit in my checking account with them and to ensure that they do not take another payment in XX/XX/XXXX. 
I submitted a claim to the wrong department in New York State and they said that they have referred the claim to this agency but I need to make sure because the money that Capital One took from my account is needed to pay tax bills this month.",Capital One,NY,-0.0263755980861
124569,124569,124569,Credit card,Credit card protection / Debt protection,"I have XXXX credit cards from Capial one bank. I requested to upgrade one of them from XXXX to XXXX. I revived XXXX cards. I contacted them and requested to keep the current card they said ok and everything good I can use my current card. When I login to my account I see the XXXX cards are XXXX. So I called back and they told me I have to activate the XXXX card and they ca n't give me the same offer again or make any change before 6 month. 
I refused the changes and they told me they are going to fix it. More than month passed since that happened and no changes happened.",Capital One,GA,0.242857142857
124632,124632,124632,Debt collection,Improper contact or sharing of info,"This person called my father on several occasions ( XXXX XXXX, 2016 and XXXX XXXX, 2016 ) and left him messages about me. I did not give his number to this person. I have not received any phone calls to my phone at all.",Capital One,CT,0.0
124779,124779,124779,Credit card,Unsolicited issuance of credit card,I received two phone calls from the 'capital one ' fraud department to verify I had attempted to open an account. I had not and do not have an account with capital one. The number I am worried about is XXXX. I asked them to somehow verify they are capital one and they said 'they 've never received a question like that and couldnt '.,Capital One,PA,0.0
124829,124829,124829,Credit card,Other,"Hello, I 've made repeated attempts to contact Capital One regarding the overbearing amount charged in interest on my credit card. It is currently at 24.99 %. So, if I make a monthly payment of {$200.00}, the amount of interest charged is {$100.00}. I 've asked, both on the phone and in writing, to have my interest lowered as Capital One is contributing to the balance owed. They said it could n't be done. I 've asked for supervisors to speak to. They 've told me that they ca n't "" just go and lower the interest because I ask ''. It does n't follow their protocol. I 've also asked for a detailed analysis of the account as to what old balances are remaining compared to new, assuming that when a payment is made, it 's applied to the oldest balance first, XXXX. I believe that the customer service folks at Capital One have no idea what XXXX is, as they would go back to the previous statement and see if there were product charges, then the next, and the next, which is not what I 'm asking for. I 'm looking for a report showing where and how my monthly payments are being applied, of whatever remains after they snatch interest away. 
This appears to me to be legalized loansharking, and someone needs to put a stop to this. Their idea of a late payment is XXXX made on the day which the payment is due after XXXX XXXX. Is n't the payment, by law, supposed to be processed on the date it 's made? They ca n't "" update their system '' after XXXX on weekdays?",Capital One,WI,0.0267906336088
124878,124878,124878,Bank account or service,Deposits and withdrawals,"On XXXX XXXX, 2016 I personally went to CapitalOne Bank XXXX branch to collect the stolen funds by unknown theft XXXX XXXX. The stolen funds in the amount of {$79000.00} plus 20 % interest, {$100.00} late fee/per month, {$150.00} travel expense, 14 hours collection time, pain, suffering NEVER paid for 3 years. Theft XXXX XXXX NEVER went to jail for her theft behavior. However the branch manager XXXX XXXX XXXX began to blaim me as a victim. He stated that "" because of your behavior, the bank closed all of your accounts and mailed you a cashier 's check {$9.00} on XXXX XXXX, 2016. You can not access the Capitalone branches anymore. '' I feel I was mistreated that I lost my savings for 3 years and never received anymore payback. However he began to take my advantage to let me leave without paying stolen funds back which belong to me. I was also shocked that what type of behavior I have? He lied. I just followed what the customer service told me to go to branch to collect stolen funds. I have asked him the corporate office phone number however he only gave a customer service phone number. I walked out of branch to filed a complaint to customer service Rep XXXX XXXX. On XXXX XXXX, 2016 I was called by a CapitalOne customer service Rep XXXX # XXXX at XXXX. She said she can contact branch regarding my complaint and stolen funds, but I waited 15 minutes she never had any answer. I am extremely angry about my stolen savings not only I need it to pay my daily living expenses, but also I lost lots of promotional bonus, interest, earning opportunities by other means for 3 years. I have NO choice but to file another complaint to ask my stolen funds to be back immediately.",Capital One,MD,-0.161111111111
124885,124885,124885,Credit card,Customer service / Customer relations,"Capital One received a cashier 's check by mail to be applied to my credit card balance. The account updated stating payment was received on XXXX/XXXX/2016 and posted on XXXX/XXXX/2016. Although, the credit card reflected a credit for an overpayment, the available credit on the account remained at {$20.00}. When calling to inquire about the available credit, I was informed that the payment had been placed on hold for 9 days. I questioned the legitimacy of the hold for a cashier 's check less than {$5000.00} considering REG CC requirements. I was told by the manager that a hold can be placed on ANY payment without an explanation regardless of the form of payment used. No attempts were made to verify the check. Not to mention the credit card is fully secured by my funds. When asked what the reason was for the hold, I was told no specific reason could be given and that it could be several causes. I was alarmed by the response and said that it sounded like a violation of a federal regulation. When denied credit, a reason must be given. When funds are placed on hold in a deposit account, a reason must be given. Unfortunately, Capital One states, no reason is necessary for holding funds applied towards a credit card. After attempting to reason with the manager, I was only shot down multiple times. By the time this is resolved, I 'm likely to have access to my funds. But, the idea that they can make rules that go against federal regulations and inconvenience their customers without an explanation is my concern. No business should be able to impose limitations to access of one 's own funds without an explanation.",Capital One,VA,0.082905982906
124961,124961,124961,Credit card,Payoff process,"I contacted Capital One to pay the balance of a credit card that had been charged off in 2010. I was instructed to speak with their legal council ( which I did ) and was offered a settlement amount. I was told that upon receipt of payment, Capital One would update the balance of the credit card to {$0.00} and that the account would be considered paid in full. I was also told that the judgement that had been entered against me would be removed. Neither of these actions has been taken and the credit reports with all XXXX bureaus still list the account as having a {$4200.00} balance and lists my credit utilization as 117 %, which is not correct. I disputed this balance and received notification from all XXXX credit bureaus that Capital One had reported the balance as {$4200.00} even though I already made the payment and they agreed to mark the account as paid in full with a {$0.00} balance.",Capital One,VA,0.3
124982,124982,124982,Credit card,Identity theft / Fraud / Embezzlement,"I had a Capital One card with my ex husband that I thought was closed in 2015. All of the monthly bills were not being sent to me, instead they were being sent to an address that my husband had set up. He purposely maxed out the credit cards and made no payments on them. This was by no fault of mine and had no idea that the account existed. I have made repeated attempts to go thru the fraud department with Capital One to have my name removed from the account as well as attempted to have the bureaus remove the item from my report as well. This is my last hope as it is affecting my ability to purchase a home.",Capital One,CO,-0.05
125024,125024,125024,Debt collection,Disclosure verification of debt,I just find out that I have an account in collection without my knowledge and also received some collection calls on my cell every hour of the days. I am getting treated and intimidate by this calls. I already filed one time for Bankruptcy and I regret it. I do n't want to have to contact an attorney and filed a complaint about this calls.,Capital One,TN,-0.3
125053,125053,125053,Debt collection,Cont'd attempts collect debt not owed,Checked my credit report 4 years ago saw there was a capital one credit card in collection. Filed a dispute since then it has been reopened every year by the collection agency.,Capital One,GA,0.0
125058,125058,125058,Credit card,Other,"Capital One Card reports my XXXX score as XXXX, but the actual posted score reads XXXX.",Capital One,PA,0.0
125100,125100,125100,Consumer Loan,Managing the loan or lease,"XX/XX/2010, I financed a used vehicle with Capital One Auto Finance. The original amount financed was about {$23000.00} with a monthly payment of {$530.00}. I have paid on the account since 2010 and the balance is currently reported at about {$2600.00} after over 6 years. I noticed when reviewing my account that they are applying about 50 % of my payments towards interest despite the fact that my interest rate is about 18 %! For instance, when making a {$530.00} payment ; the report says that about {$400.00} is applied to principal and {$100.00} applied to interest! This practice has gone on for as far back as I am able to view online. There is absolutely no way that this is accurate! They have also reportedly lowered and raised the balance after credit disputes. Their practices are absolutely dishonest and I will be contacting an attorney for review in the next week. I am greatly disturbed by this company and its practices. I then called because the website would not work to get me 4 extra months or even 3 months to add to an auto loan so I called customer service, she was rude and very knowledgeable, keep putting me on hold because she did n't have the answers to my questions. I then received a call from a lady from Capital One Finance office and she said that I would have to pay at least XXXX by XXXX XXXX for them to even consider allowing me to get extra months added to my loan. For my loan to be considered paid in full all I owe is XXXX which is about 4 payments at the regular rate.",Capital One,TX,0.107352941176
125105,125105,125105,Debt collection,Disclosure verification of debt,I just find out that one of my account was put in collection without my knowledge or notification. I received collections calls on my cell any hours of the day and want this calls to stop immediately. They trying to scare me and intimidates me.,Capital One,TN,0.0
125133,125133,125133,Consumer Loan,Taking out the loan or lease,"I thought I bought my van for XXXX plus XXXX percent for the loan ... so about XXXX. My goal was low payments I could afford so the dealer told me that if I paid a big chunk like when I got my tax return my payments would be lower. I even called Capitol One Auto Finance to confirm that. N they said the same thing. But, when I got my tax return and asked how much my payments would be if I paid a certain amount ... but, then they said they would stay the same. I was like ... but, that 's not what you guys and the dealer said a few months ago. N Cap. One was telling me that whatever representative I spoke to told me wrong. So I am stuck in these high payment amounts I really ca n't afford along with the high full coverage insurance and I have n't been able to refinance. ON TOP OF THAT I found out Cap. One actually charged me XXXX for the van when it was n't even worth the XXXX I thought I was buying it for! N I will make payment but the pay off will just stay the same OR GO BACK UP another XXXX! How can a company get away with charging more than twice what a vehicle is worth when ... if we get into an accident and total a car the insurance companies will only give us the cars blue book value or nada or whatever value. That is another complaint I have ... .I pay SO much for full coverage insurance. Over XXXX. Yet when I hit a deer years ago with my other van XXXX would only give me XXXX for a van I paid XXXX for. N now a XXXX driver ran into and did n't stop and I am being treated like a liar by XXXX ... I paid them for insurance not to make the heads of their company richer, but they sure are tight with their money when it is time to help ... or really just give us some of the money we paid them. It would be better to make special personal auto savings accounts because insurance companies take advantage of consumers.",Capital One,SD,0.125378151261
125180,125180,125180,Credit card,Other,"I wrote a letter to Capital One on XXXX XXXX, XXXX, explaining that they were reporting GOOD information for a Capital One/ Sony account circa XX/XX/XXXX on my XXXX and XXXX credit files. This information is not showing up on my XXXX credit file. I REQUESTED THAT THEY ADD THIS INFORMATION TO MY XXXX CREDIT FILE. NOT REMOVE! 
What happened next : I received a letter from Capital One dated XXXX XXXX, XXXX. The letter was a generic statement letter ... "" We agree that there is incorrect information on your credit report, so we asked the credit bureaus to remove this account from your credit report. '' Accounts in good standing remain on credit files for 10 years or indefinitely. This account was never delinquent. This is WHY I was requesting this information be added to my XXXX report ... it is already on XXXX and XXXX. 
I understand if Capital One does not want to report this information on XXXX, but by removing this information from XXXX AND XXXX will cause my CREDIT SCORE TO DROP. This will affect my scores by way of the credit mix ( i.e. types of loans mortgage, equity & installment ) and length of credit history.",Capital One,TX,0.39375
125207,125207,125207,Consumer Loan,Managing the loan or lease,Capital one added on {$190.00} dollars to my balance and has raised my payment from XXXX to XXXX with no explanation at all they have received my payments. They refused to set me up an online account so I can have digital copy 's in order to extort an extra XXXX a month in unjustifiable fee 's. Their intention is to get me to default on my loan which makes no sense.,Capital One,OR,0.0
125213,125213,125213,Consumer Loan,Managing the loan or lease,"I 've had my car for almost 2 years and I have had nothing but problems with capital one auto. I am behind on my payments due to job loss and I have repeatedly asked for payments to be put on the back to help me catch up. I was told in XXXX XXXX if I paid {$130.00} by XXXX XXXX XXXX past due payments would be put on the back, I paid on XXXX/XXXX/XXXX {$130.00}, payments were never put on the back. I made a payment of {$390.00} on XXXX/XXXX/XXXX and a payment for {$400.00} on XXXX/XXXX/XXXX. I am called up to a dozen times a week, several times a day by capital threatening if I do n't give my bank account information they will come and get my car. I have a 12 day grace period from the time my payment is due on the XXXX of the month to pay my payment, which now Capital one auto says is only 10days and only for late fee assessment. I was told today that my payments were 78 days past due when I asked how that was possible, I was told we do n't count the grace period that 's only for late fees to be assessed. Capital one refuses to send me any kind of proof that my car will be repo within a certain time instead I was told to call back on XXXX/XXXX/XXXX to speak to the repo department. I called back XXXX/XXXX/XXXX to speak to the repo department to see what the procedure was and was told I could n't speak to them until I was sent to them. I do n't believe there is such a department and they are just making empty threats trying to get my bank information. I was told was told by several Capital one auto reps that the account had to be over 108 days past due for repossession occur and as of today I am supposedly at 78 days, but if I do n't give bank information today they will start that process on the XXXX. I am not trying to avoid making payments I am trying to catch up but capital one will not assist only make threats and policy changes every time I ask for a supervisor, which I have never been transferred to yet. Supposedly today XXXX/XXXX/XXXX I was transferred to the office of the president but I do n't believe I was ever transferred, the person I spoke to only wanted to send me to someone else who was another rep, I hung up. I submitted a complaint to the XXXX and received a response from Capital one office of the president which contains falsified documents that I never received and have payment proof that what they were saying is false. I was never provided a copy of my loan policy the only thing I was given was the bill of sale which Capital one auto says is my policy from the dealership I purchased the car from. I only receive payment statements every 3 months or so, which I have addressed for nearly 2 years with Capital one auto. I checked my credit on XXXX/XXXX/XXXX to find they had reported I was more than 90 days past due for {$810.00} which according to their own records does n't add up. I have no idea what is past due and how long because Capital one auto refuses to send me any paperwork proof I have requested numerous times since XXXX XXXX. I even requested the proof in 2 separate XXXX complaints only to be provided with payment statements from XXXX and default letter from XXXX which I never received in the mail, and neither have anything to do with this issue. My account balance has never went down in nearly 2 years instead it stays near the purchase amount for the car. I have asked for proof where my payments are going only to be provided with a statement through the XXXX complaint that has payments missing and incorrect payment amounts. I have asked numerous times for calls placed to and from Capital one auto to be reviewed and was told they had and called a liar.",Capital One,IN,-0.0493116294137
125268,125268,125268,Credit card,Credit card protection / Debt protection,"I remodeled my house ; purchased most of the materials from XXXX using their "" 6 month same-as-cash '' offers. I had numerous balances on these "" 6 month @ 0 % '' offers that expired in different months ( or incur deferred interest ). I was paying close attention to my offers and paying off those balances when they expired, and asking for anything over the minimum payment to be applied to my "" regular purchase balance '' which is charged 25.24 %! 

Capital One has a disclaimer to get around applying anything above your minimum payment to the next highest interest rate balance - they apply anything over your minimum payment to the currently expiring balance and then to the NEXT expiring promotional balance instead of applying it the next highest balance ; the "" regular purchase balance '' earning 25.24 %! 

I have asked them not do this on my account, and they tell me it 's automatic. I tell them that I am directing them to apply my payment to different balances instead ; I get the run-around every time. I have to talk to a supervisor, then I 'm on the phone for HOURS - as they try to confuse me, then eventually offer to wipe the interest fees. They never do correct the balances on the various promotional offers, so the issue never does get fixed. I have to call them back every month and go through the whole thing again. I 've spent HOURS on the phone EVERY MONTH with a different supervisor applying my payments manually. Then they still do n't apply it correctly - the balances are all wrong, when I try to get it straight, they just talk about all the difference balances, tell me the same thing in a different way, attempt to confuse me, etc. They refuse to apply my payment how I ask them to AND how it is required to be applied according to CARD Act of 2009 ; which is minimum pmt, payoff promo balance expiring that month, then apply anything over that amount to the "" regular purchase balance '' - the balance with the highest rate. 

It 's a struggle every month to request that my payment over-and-above the minimum payment be applied to the balance with the highest interest rate. 

This clause "" If you have Same As Cash Credit Plans, we will automatically apply payments received during the final TWO billing cycles and up to the date of expiration first the required minimum pmt due and next to the plan ( s ) that is expiring, in order of expiration ; at other times, we will treat your Same As Cash Credit Plan as having a 0 % APR for purposes of determining payment application. '' This allows them to pay off a balance that is sitting at 0 % for another month instead of paying off the balance sitting there at 24.25 %.",Capital One,IL,0.0242424242424
125330,125330,125330,Bank account or service,Using a debit or ATM card,"Banks are charging "" overdraft fees '' for transactions when using your debit card. the problem is that when opening an account they do n't disclosed the consumer that there is a charge of {$35.00} per transaction causing consumer to pay a large amount. In my case there was approximately XXXX charged to me and the bank is refusing to return. I went to multiple branch and I was told that is nothing that they can do. The policy should be for both agreeable by both consumers and bank. I was hardly using these particular account and was under the impression that I have money in since I am depositing XXXX every paycheck. Also, they send me a new card that according to the branch manager said that the card is linked to pull money from all accounts including my minor account and when I ask she does not know why it was set up like that. then to another bank in which the staff including the manager were very unprofessional and rule, I was literally begging for the money and the bank does did not care",Capital One,NJ,-0.00304383116883
